date,exp_name,exp_notes,train_file,n_folds,mean_cv_metric,std_cv_metric,mean_logloss,n_features,xgb_params
2026-06-25 14:16,xgb1_base,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.9553,0.00038,0.09051,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 1, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 2000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-25 15:29,xgb1_fe1,First run with argparse,s6e6_star_train_fe_20260611.parquet,5,0.95558,0.00052,0.08992,27,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 1, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 2000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-25 21:39,tune_lr001_d8,"slow lr, deep trees",s6e6_star_train_base_20260611.parquet,5,0.95276,0.00024,0.09535,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 8, ""min_child_weight"": 1, ""learning_rate"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 3000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-25 22:01,fe_tune_lr001_d8,"fe, slow lr, deep trees",s6e6_star_train_fe_20260611.parquet,5,0.95252,0.00023,0.09502,27,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 8, ""min_child_weight"": 1, ""learning_rate"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 3000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:26,tune_base,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.95529,0.00039,0.09052,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 1, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 2000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:35,tune_deep_slow,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.95291,0.00027,0.09436,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 8, ""min_child_weight"": 5, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 4000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:38,tune_shallow_fast,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.95447,0.00035,0.0916,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 4, ""min_child_weight"": 1, ""learning_rate"": 0.1, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""colsample_bylevel"": 1.0, ""reg_alpha"": 2.0, ""reg_lambda"": 0.3, ""n_estimators"": 800, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:42,tune_regularised,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.9549,0.00024,0.09074,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 10, ""learning_rate"": 0.05, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""colsample_bylevel"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0, ""n_estimators"": 2000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:47,tune_stochastic,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.95463,0.00039,0.09102,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 3, ""learning_rate"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""colsample_bylevel"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""n_estimators"": 2000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
2026-06-26 07:52,tune_balanced,baseline xgb run,s6e6_star_train_base_20260611.parquet,5,0.95432,0.00052,0.0918,11,"{""seed"": 1337, ""device"": ""cuda"", ""objective"": ""multi:softprob"", ""tree_method"": ""hist"", ""max_depth"": 6, ""min_child_weight"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""colsample_bylevel"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""n_estimators"": 3000, ""early_stopping_rounds"": 100, ""eval_metric"": ""mlogloss""}"
